onset	duration	trial_type	value	sample	n_simultaneous_stimuli	snr	EEG_trigger_start	EEG_trigger_end	file_clicks	file_story1	file_story2	file_story3	file_story4	file_story5
42.2578	10	speech	1	422578	3	-3 dB	1	2	n/a	speech/alice/alice_244_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_056_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_045_peaky_diotic_regress.hdf5	n/a
52.3488	10	speech	1	523488	5	-6 dB	1	2	n/a	speech/alice/alice_377_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_152_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_012_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_052_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_222_peaky_diotic_regress.hdf5
62.4183	10	speech	1	624183	1	clean	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_200_peaky_diotic_regress.hdf5	n/a
72.5093	10	speech	1	725093	5	-6 dB	1	2	n/a	speech/alice/alice_059_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_141_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_077_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_162_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_024_peaky_diotic_regress.hdf5
82.5788	10	speech	1	825788	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_097_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_274_peaky_diotic_regress.hdf5	n/a
92.6484	10	speech	1	926484	3	-3 dB	1	2	n/a	speech/alice/alice_045_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_157_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_350_peaky_diotic_regress.hdf5	n/a
102.718	10	speech	1	1027180	5	-6 dB	1	2	n/a	speech/alice/alice_034_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_335_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_128_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_040_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_088_peaky_diotic_regress.hdf5
112.7876	10	speech	1	1127876	1	clean	1	2	n/a	speech/alice/alice_085_peaky_diotic_regress.hdf5	n/a	n/a	n/a	n/a
122.8572	10	speech	1	1228572	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_180_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_121_peaky_diotic_regress.hdf5	n/a	n/a
132.9481	10	speech	1	1329481	3	-3 dB	1	2	n/a	speech/alice/alice_183_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_225_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_258_peaky_diotic_regress.hdf5	n/a
