onset	duration	trial_type	value	sample	n_simultaneous_stimuli	snr	EEG_trigger_start	EEG_trigger_end	file_clicks	file_story1	file_story2	file_story3	file_story4	file_story5
107.9465	10	clicks	0	1079465	1	clean	1	2	clicks/clicks_000_regress.hdf5	n/a	n/a	n/a	n/a	n/a
118.0161	10	clicks	0	1180161	1	clean	1	2	clicks/clicks_001_regress.hdf5	n/a	n/a	n/a	n/a	n/a
128.0857	10	clicks	0	1280857	1	clean	1	2	clicks/clicks_002_regress.hdf5	n/a	n/a	n/a	n/a	n/a
138.1553	10	clicks	0	1381553	1	clean	1	2	clicks/clicks_003_regress.hdf5	n/a	n/a	n/a	n/a	n/a
148.2249	10	clicks	0	1482249	1	clean	1	2	clicks/clicks_004_regress.hdf5	n/a	n/a	n/a	n/a	n/a
158.2945	10	clicks	0	1582945	1	clean	1	2	clicks/clicks_005_regress.hdf5	n/a	n/a	n/a	n/a	n/a
168.3641	10	clicks	0	1683641	1	clean	1	2	clicks/clicks_006_regress.hdf5	n/a	n/a	n/a	n/a	n/a
178.4336	10	clicks	0	1784336	1	clean	1	2	clicks/clicks_007_regress.hdf5	n/a	n/a	n/a	n/a	n/a
188.5032	10	clicks	0	1885032	1	clean	1	2	clicks/clicks_008_regress.hdf5	n/a	n/a	n/a	n/a	n/a
198.5728	10	clicks	0	1985728	1	clean	1	2	clicks/clicks_009_regress.hdf5	n/a	n/a	n/a	n/a	n/a
208.6424	10	clicks	0	2086424	1	clean	1	2	clicks/clicks_010_regress.hdf5	n/a	n/a	n/a	n/a	n/a
218.712	10	clicks	0	2187120	1	clean	1	2	clicks/clicks_011_regress.hdf5	n/a	n/a	n/a	n/a	n/a
228.7816	10	clicks	0	2287816	1	clean	1	2	clicks/clicks_012_regress.hdf5	n/a	n/a	n/a	n/a	n/a
238.8512	10	clicks	0	2388512	1	clean	1	2	clicks/clicks_013_regress.hdf5	n/a	n/a	n/a	n/a	n/a
248.9208	10	clicks	0	2489208	1	clean	1	2	clicks/clicks_014_regress.hdf5	n/a	n/a	n/a	n/a	n/a
258.9904	10	clicks	0	2589904	1	clean	1	2	clicks/clicks_015_regress.hdf5	n/a	n/a	n/a	n/a	n/a
269.06	10	clicks	0	2690600	1	clean	1	2	clicks/clicks_016_regress.hdf5	n/a	n/a	n/a	n/a	n/a
279.1296	10	clicks	0	2791296	1	clean	1	2	clicks/clicks_017_regress.hdf5	n/a	n/a	n/a	n/a	n/a
289.1992	10	clicks	0	2891992	1	clean	1	2	clicks/clicks_018_regress.hdf5	n/a	n/a	n/a	n/a	n/a
299.2687	10	clicks	0	2992687	1	clean	1	2	clicks/clicks_019_regress.hdf5	n/a	n/a	n/a	n/a	n/a
309.3383	10	clicks	0	3093383	1	clean	1	2	clicks/clicks_020_regress.hdf5	n/a	n/a	n/a	n/a	n/a
319.4079	10	clicks	0	3194079	1	clean	1	2	clicks/clicks_021_regress.hdf5	n/a	n/a	n/a	n/a	n/a
329.4562	10	clicks	0	3294562	1	clean	1	2	clicks/clicks_022_regress.hdf5	n/a	n/a	n/a	n/a	n/a
339.5258	10	clicks	0	3395258	1	clean	1	2	clicks/clicks_023_regress.hdf5	n/a	n/a	n/a	n/a	n/a
349.6167	10	clicks	0	3496167	1	clean	1	2	clicks/clicks_024_regress.hdf5	n/a	n/a	n/a	n/a	n/a
359.665	10	clicks	0	3596650	1	clean	1	2	clicks/clicks_025_regress.hdf5	n/a	n/a	n/a	n/a	n/a
369.7346	10	clicks	0	3697346	1	clean	1	2	clicks/clicks_026_regress.hdf5	n/a	n/a	n/a	n/a	n/a
379.8041	10	clicks	0	3798041	1	clean	1	2	clicks/clicks_027_regress.hdf5	n/a	n/a	n/a	n/a	n/a
389.8951	10	clicks	0	3898951	1	clean	1	2	clicks/clicks_028_regress.hdf5	n/a	n/a	n/a	n/a	n/a
399.9647	10	clicks	0	3999647	1	clean	1	2	clicks/clicks_029_regress.hdf5	n/a	n/a	n/a	n/a	n/a
410.0342	10	clicks	0	4100342	1	clean	1	2	clicks/clicks_030_regress.hdf5	n/a	n/a	n/a	n/a	n/a
420.1038	10	clicks	0	4201038	1	clean	1	2	clicks/clicks_031_regress.hdf5	n/a	n/a	n/a	n/a	n/a
430.1734	10	clicks	0	4301734	1	clean	1	2	clicks/clicks_032_regress.hdf5	n/a	n/a	n/a	n/a	n/a
440.243	10	clicks	0	4402430	1	clean	1	2	clicks/clicks_033_regress.hdf5	n/a	n/a	n/a	n/a	n/a
450.3126	10	clicks	0	4503126	1	clean	1	2	clicks/clicks_034_regress.hdf5	n/a	n/a	n/a	n/a	n/a
